application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,freq1,freq2,stand2,classifier,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_Mag1,FFT_Mag,FeatureScaler2,rbf_svm,0.7063362612149912,0.015388206770383413,0.7056741573033709,0.015396128658841027
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_Mag1,FFT_MagSq,FeatureScaler2,rbf_svm,0.6580227584974518,0.019922332953115716,0.6570786516853933,0.01991880057474147
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_Mag1,FFT_MagRt,FeatureScaler2,rbf_svm,0.7156995436952828,0.01408691402387877,0.7152808988764043,0.014080124477964863
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_Mag1,FreqControl2,FeatureScaler2,rbf_svm,0.8534886209411772,0.01604136104183823,0.8533286516853932,0.01611715287444357
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_Mag1,Wavelet_db1,FeatureScaler2,rbf_svm,0.8431018970855385,0.018379268150245175,0.8424438202247191,0.01853653792452885
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_Mag1,Wavelet_db2,FeatureScaler2,rbf_svm,0.8294389551796018,0.01787525694754136,0.8290168539325843,0.017989177229988672
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_Mag1,Wavelet_db5,FeatureScaler2,rbf_svm,0.8243935387616556,0.01778617033068916,0.8241011235955057,0.01779901716369292
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_Mag1,Wavelet_db11,FeatureScaler2,rbf_svm,0.8319220863047916,0.017776648967937944,0.8317415730337079,0.017747830335877884
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagSq1,FFT_Mag,FeatureScaler2,rbf_svm,0.5858447266326237,0.019968125655966926,0.5880056179775281,0.01972324214658
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagSq1,FFT_MagSq,FeatureScaler2,rbf_svm,0.47932356908660156,0.03486201864683772,0.4979915730337079,0.027000106812667755
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagSq1,FFT_MagRt,FeatureScaler2,rbf_svm,0.6128879736186823,0.01732507882460153,0.6136797752808989,0.017291624679452295
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagSq1,FreqControl2,FeatureScaler2,rbf_svm,0.7772814819254524,0.018420165519028666,0.7777106741573033,0.018345573143689415
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagSq1,Wavelet_db1,FeatureScaler2,rbf_svm,0.7479943378894666,0.023246168274072023,0.7487359550561797,0.022887226061237404
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagSq1,Wavelet_db2,FeatureScaler2,rbf_svm,0.7429874413340201,0.022356491118242235,0.7441573033707866,0.02196471157278067
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagSq1,Wavelet_db5,FeatureScaler2,rbf_svm,0.7474765843600079,0.022387091551008327,0.748384831460674,0.022020013011947396
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagSq1,Wavelet_db11,FeatureScaler2,rbf_svm,0.7560882580023565,0.02195464444803149,0.7574719101123593,0.021433044452921143
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagRt1,FFT_Mag,FeatureScaler2,rbf_svm,0.707460720128161,0.01594830889131597,0.707064606741573,0.01589780314597184
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagRt1,FFT_MagSq,FeatureScaler2,rbf_svm,0.6907963068838657,0.016782831159425363,0.689733146067416,0.016702379230913056
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagRt1,FFT_MagRt,FeatureScaler2,rbf_svm,0.6983683362001887,0.014904385796584353,0.6985252808988762,0.014769745994099252
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagRt1,FreqControl2,FeatureScaler2,rbf_svm,0.8574371003167899,0.01564498855398532,0.8575702247191007,0.015691533952601103
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagRt1,Wavelet_db1,FeatureScaler2,rbf_svm,0.850835708474343,0.016810238380861355,0.8506460674157301,0.016874075042332723
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagRt1,Wavelet_db2,FeatureScaler2,rbf_svm,0.8321340408230897,0.017433840346224777,0.8320505617977527,0.017526581791936224
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagRt1,Wavelet_db5,FeatureScaler2,rbf_svm,0.8239124997822721,0.01783710190982046,0.8240449438202248,0.017856509808967653
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FFT_MagRt1,Wavelet_db11,FeatureScaler2,rbf_svm,0.8279770302266268,0.017747793643631736,0.8282162921348315,0.017733036163665564
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FreqControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.8534886209411772,0.01604136104183823,0.8533286516853932,0.01611715287444357
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FreqControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.7772814819254524,0.018420165519028666,0.7777106741573033,0.018345573143689415
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FreqControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8574371003167899,0.01564498855398532,0.8575702247191007,0.015691533952601103
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FreqControl1,FreqControl2,FeatureScaler2,rbf_svm,0.3512098062181898,0.015036487516890504,0.35262640449438204,0.014616535988046632
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FreqControl1,Wavelet_db1,FeatureScaler2,rbf_svm,0.411879551599612,0.01647081366917746,0.41977528089887634,0.01595357248996369
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FreqControl1,Wavelet_db2,FeatureScaler2,rbf_svm,0.4302768764012335,0.01628871868512261,0.4411797752808988,0.015543990541826716
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FreqControl1,Wavelet_db5,FeatureScaler2,rbf_svm,0.42259515696022243,0.015555845096439083,0.4352387640449439,0.015004963566680844
Concrete Tool Wear,100,1424,0.5,0.2,0.5,hamming,FreqControl1,Wavelet_db11,FeatureScaler2,rbf_svm,0.4172299800024282,0.017214105720098308,0.43033707865168536,0.016430783537174948
